Crocuta crocuta,
Crypturellus obsoletus,
Crypturellus strigulosus,
CSTR,
xTriticosecale (triticale),
Dactylopius opuntiae,
Dermacentor sinicus,
Dillenia indica,
Dipus sagitta Allactaga sibirica,
Dolichoderus thoracicus,
Drosophila.*,
ecological metagenome,
ecological metatranscriptomes,
Elaeis guineensis,
Elaeocarpus reticulatus,
Enriched microbial community,
Environment.*,
environmental.*,
Eothenomys melanogaster,
Eothenomys.*,
Epinecrophylla fulviventris,
Equus ferus caballus,
Eschatocerus niger galls on Prosopis,
Escherichia.*,
Eschscholzia californica,
Eucalyptus,
extraciton kit for coral samples,
extraction kit for environmental samples,
Fagus sylvatica,
Felis silvestris catus,
fermented food,
flower,
Folsomia candida VU population,
Forest soil,
Fruit peels.*,
gallus,
geese,
grass carp.*,
Guava,
Guazuma_ulmifolia stick,
Haliotis diversicolor,
Halophila australis,
Heat treated milk,
Hexadella cf. dedritifera,
Himalayan blackberry,
Hipposideros.*,
Homo sapiens,
Homo-sapiens,
"Hordeum vulgare ""Granger""",
Hordeum vulgare.*,
Hyalomma asiaticum bv. kozlovi olenew,
Hypomesus nipponensis,
Ictalurus punctatus,
Indian ocean,
Ircinia campana,
Ircinia sp. 1,
Isiodictya.*,
Isoodon macrourus,
Klebsiella.*,
Lake Erie and St. Clair,
Lake St. Clair,
Lakes,
landfill cover soil,
Lasiopodomys gregalis,
Lens culinaris,
Leopard,
Lithobates clamitans,
Litomosoides brasiliensis,
Low shore rock.*,
Lucilia sericata,
Lytechinus variegatus,
Macaca.*,
Macaranga tanarius,
Macrotermes natalensis,
maize,
Malus domestica,
Mammuthus primigenius,
Mangifera indica L.,
Mango peel,
Mango.*,
marine bacteria,
Marmoset.*,
marmot,
Marmota sibirica,
Megaptera novaeangliae,
Meriones meridianus.*,
Microcystis.*,
Microtus fortis,
missing,
Mixed hosts,
Mountain,
.*mouse,
Mus musculus,
Mus musculus albus,
Mus.*,
Myodes.*,
Myriophyllum spicatum,
Myrmica.*,
N. unifasciata,
Nasopharyngeal swab samples,
natural / free-living,
natural/free-living,
near rep 2_oceanic.*,
near rep 3_estuarine.*,
Neodon.*,
Niviventer niviventer,
Niviventer.*,
no applicable,
no.* applicable,
none,
not applicable,
Not Applicable,
Not applicable,
Not avaliable,
not collected,
Numenius minutus,
Octomeris angulosa.*,
Odocoileus virginianus,
Odontophorus guttatus,
Olea europaea,
Nudibranch gut,
Nudibranch mantel,
on Jacksonia sp.,
.*possum,
Oschieus.*,
Padina.*,
palm.*,
Pseudosuberites.*,
Parahubrechtia.*,
Psittacidae.*,
Osmorhiza.*,
Pteridophyta,
Ptycohyla.*,
on Ptilotus sp.,
on Ptilotus sp.,
Oncorhynchus mykiss,
Orientallactaga sibirica,
Oryza sativa.*,
Ostrea edulis,
Ovis aries,
Oyster larvae,
P. niger,
Pan troglodytes.*,
Panicum virgatum,
Papaya peel,
papaya.*,
Parafontaria laminata armigera,
Parkesia motacilla.*,
Passion fruit.*,
Scleractinia,
.*Plateau,
Shiga toxin.*,
rhizosphere,
Ridgea piscesae,
Peanut,
Rockweed,
rockweed,
rumen.*,
Sapotaceae.*,
Penaeus vannamei,
Periphyton,
Perna perna.*,
Phascolarctos cinereus,
Phyla canescens,
Picea glauca,
Pinus sibirica,
Pinus.*,
Pisaster ochraceus.*,
plant,
Polyphaga aegyptiaca,
Porcine,
Porifera,
Potorous gilbertii,
Produced water,
Prokaryote,
Prosopis caldenia Stem,
Prosopis chilensis,
Prosopis cineraria,
Prosopis juliflora,
Prosopis strombulifera,
Prosopis.*,
Pseudacris crucifer,
Pseudoregma bambucicola,
Psophia viridis,
Pternistis capensis,
Pternistis hildebrandti,
Pteropus sp.,
Pteropus.*,
Quercus ilex.*,
Rattus norvegicus,
Raw bovine milk storage,
Rehmannia glutinosa,
Rhizobium phaseoli.*,
Rhizome,
Rhododendron ferrugineum,
Rice husk samples,
Rock surface,
Ruditapes decussatus and R. philippinarum,
Ruditapes philippinarum,
Salicornia europaea,
Salix cinerea,
Sarcophilus harrisii,
Sarracenia,
Sarracenia alata,
Sarracenia.*,
scale insect,
Scutellastra cochlear.*,
seal.*,
seaweed,
Seriola rivoliana,
Shelf for cheese storage,
Sialia mexicana,
Simarouba glauca,
Sinularia.*,
Sloth bear and Leopard,
sludge,
Snake,
soil samples,
soil.*,
Sophora flavescens,
Sorex araneus,
Soybean,
Spodoptera littoralis,
Starfish,
Stenotrophomonas.*,
Stercorarius antarcticus,
Stipa.*,
Stone,
stone surface,
Streptomyces.*,
Streptopelia capicola,
Styela plicata,
Suncus murinus,
Surface seawater,
swine,
Winograskyella.*,
wildlife,
Sarcoccoca.*,
Leporidae.*,
Zoantharia.*,
.*Triticosecale.*,
Syncerus caffer,
Tamarix aphylla,
Tamias sibiricus,
Tapirus indicus,
Tetrastigma nitens,
Tournefortia sibirica,
Trachymyrmex.*,
Triticum aestivum,
Tsitsikamma.*,
Ulva australis,
unknown,
Varroa destructor,
Vitis.*,
Vulpes.*,
Wahlenbergia,
waste biocover soil,
wastewater,
Water,
water samples,
whale,
Whey,
Zophobas atratus,
Annelida.*,
Antipatharia.*,
Arthropoda,
Brachidontes.*,
Cassiopeia.*,
Coleoptera.*,
common bean,
Crustacea.*,
.*cucumber,
host,
host Atriplex sp,
host Stipa sp,
Hymeniacidon.*,
infected Phoenix sylvestris,
Insecta: Drosophila.*,
.*mussel.*,
J. major,
J. nigra,
Kalotermitidae.*,
L. apiculata,
Lanuginellinae.*,
Mastigias.*,
Rhabditinae.*,
.*sponge.*,
Dysidea.*,
E. coli,
Echinodermata.*,
Dictyota.*,
Dryopsis.*,
Dinoflagellate.*,
Dendroxea.*,
Dictyophorodelphax.*,
Demospongiae.*,
Subulitermes.*,
Eptesicusfuscus,
.*fungus,
Peretidia.*,
Phorbas.*,
Trinevitermes.*,
Platygra.*,
Platyhelminthes.*,
Dytiscidae.*,
Poaceae.*,
POLYCHAETE.*,
Polygonatum.*,
Porphyla,
Poecilosclerida.*,
Entomopathogenic.*,
Esacus magnirostris,
free life,
uninfected Phoenix sylvestris,
